problem_id,baseline_ms
1,0.659
2,0.675
3,1.33
4,3.07
5,3.1
6,0.466
7,2.0
8,3.84
9,1.57
10,0.219
11,2.32
12,0.0814
13,0.512
14,0.586
15,0.583
16,0.524
17,0.533
18,0.531
19,4.65
20,4.7
21,4.67
22,4.67
23,9.48
24,9.4
25,11.7
26,4.74
27,4.7
28,4.68
29,6.16
30,16.4
31,4.73
32,4.68
33,23.0
34,13.8
35,15.9
36,17.6
37,10.9
38,19.1
39,13.0
40,10.2
41,17.8
42,18.5
43,7.22
44,9.21
45,6.34
46,14.6
47,3.49
48,3.46
49,4.24
50,4.86
51,5.01
52,5.1
53,4.17
54,4.95
55,5.72
56,2.85
57,6.83
58,1.02
59,5.65
60,15.7
61,2.77
62,2.36
63,14.6
64,5.8
65,2.5
66,7.74
67,4.46
68,11.2
69,3.47
70,8.07
71,1.7
72,37.4
73,3.84
74,2.21
75,2.86
76,17.6
77,1.32
78,2.31
79,1.75
80,2.34
81,1.48
82,4.4
83,2.3
84,16.7
85,3.84
86,5.8
87,5.19
88,1.84
89,7.49
90,7.78
91,16.4
92,16.8
93,12.3
94,9.38
96,6.26
97,16.2
98,4.44
99,4.78
100,12.3
